,Topic,Date,Time,Amps,datetime
170935,meduk2/capstone/power1,4/27/2023,0:01:46,1.13,2023-04-27 00:01:46
170936,meduk2/capstone/power1,4/27/2023,0:01:47,1.36,2023-04-27 00:01:47
170937,meduk2/capstone/power1,4/27/2023,0:01:48,1.18,2023-04-27 00:01:48
170938,meduk2/capstone/power1,4/27/2023,0:01:50,1.14,2023-04-27 00:01:50
170939,meduk2/capstone/power1,4/27/2023,0:01:51,1.17,2023-04-27 00:01:51
170940,meduk2/capstone/power1,4/27/2023,0:01:52,1.13,2023-04-27 00:01:52
170941,meduk2/capstone/power1,4/27/2023,0:01:53,1.13,2023-04-27 00:01:53
170942,meduk2/capstone/power1,4/27/2023,0:01:54,1.12,2023-04-27 00:01:54
170943,meduk2/capstone/power1,4/27/2023,0:01:55,1.18,2023-04-27 00:01:55
170944,meduk2/capstone/power1,4/27/2023,0:01:56,1.13,2023-04-27 00:01:56
170945,meduk2/capstone/power1,4/27/2023,0:01:58,1.2,2023-04-27 00:01:58
170946,meduk2/capstone/power1,4/27/2023,0:01:59,1.11,2023-04-27 00:01:59
170947,meduk2/capstone/power1,4/27/2023,0:02:00,1.16,2023-04-27 00:02:00
170948,meduk2/capstone/power1,4/27/2023,0:02:01,1.27,2023-04-27 00:02:01
170949,meduk2/capstone/power1,4/27/2023,0:02:02,1.11,2023-04-27 00:02:02
170950,meduk2/capstone/power1,4/27/2023,0:02:03,1.25,2023-04-27 00:02:03
170951,meduk2/capstone/power1,4/27/2023,0:02:04,1.07,2023-04-27 00:02:04
170952,meduk2/capstone/power1,4/27/2023,0:02:05,1.19,2023-04-27 00:02:05
170953,meduk2/capstone/power1,4/27/2023,0:02:07,1.12,2023-04-27 00:02:07
170954,meduk2/capstone/power1,4/27/2023,0:02:08,1.17,2023-04-27 00:02:08
170955,meduk2/capstone/power1,4/27/2023,0:02:09,1.23,2023-04-27 00:02:09
170956,meduk2/capstone/power1,4/27/2023,0:02:10,1.14,2023-04-27 00:02:10
170957,meduk2/capstone/power1,4/27/2023,0:02:11,1.12,2023-04-27 00:02:11
170958,meduk2/capstone/power1,4/27/2023,0:02:12,1.14,2023-04-27 00:02:12
170959,meduk2/capstone/power1,4/27/2023,0:02:13,1.15,2023-04-27 00:02:13
170960,meduk2/capstone/power1,4/27/2023,0:02:15,1.19,2023-04-27 00:02:15
170961,meduk2/capstone/power1,4/27/2023,0:02:16,1.13,2023-04-27 00:02:16
170962,meduk2/capstone/power1,4/27/2023,0:02:17,1.13,2023-04-27 00:02:17
170963,meduk2/capstone/power1,4/27/2023,0:02:18,1.16,2023-04-27 00:02:18
170964,meduk2/capstone/power1,4/27/2023,0:02:19,1.1,2023-04-27 00:02:19
170965,meduk2/capstone/power1,4/27/2023,0:02:20,1.19,2023-04-27 00:02:20
170966,meduk2/capstone/power1,4/27/2023,0:02:21,1.4,2023-04-27 00:02:21
170967,meduk2/capstone/power1,4/27/2023,0:02:22,1.12,2023-04-27 00:02:22
170968,meduk2/capstone/power1,4/27/2023,0:02:24,1.12,2023-04-27 00:02:24
170969,meduk2/capstone/power1,4/27/2023,0:02:25,1.13,2023-04-27 00:02:25
170970,meduk2/capstone/power1,4/27/2023,0:02:26,1.13,2023-04-27 00:02:26
170971,meduk2/capstone/power1,4/27/2023,0:02:27,1.15,2023-04-27 00:02:27
170972,meduk2/capstone/power1,4/27/2023,0:02:28,1.11,2023-04-27 00:02:28
170973,meduk2/capstone/power1,4/27/2023,0:02:29,1.08,2023-04-27 00:02:29
170974,meduk2/capstone/power1,4/27/2023,0:02:30,1.23,2023-04-27 00:02:30
170975,meduk2/capstone/power1,4/27/2023,0:02:31,1.21,2023-04-27 00:02:31
170976,meduk2/capstone/power1,4/27/2023,0:02:33,1.13,2023-04-27 00:02:33
170977,meduk2/capstone/power1,4/27/2023,0:02:34,1.14,2023-04-27 00:02:34
170978,meduk2/capstone/power1,4/27/2023,0:02:35,1.24,2023-04-27 00:02:35
170979,meduk2/capstone/power1,4/27/2023,0:02:36,1.12,2023-04-27 00:02:36
170980,meduk2/capstone/power1,4/27/2023,0:02:37,1.14,2023-04-27 00:02:37
170981,meduk2/capstone/power1,4/27/2023,0:02:38,1.15,2023-04-27 00:02:38
170982,meduk2/capstone/power1,4/27/2023,0:02:39,1.23,2023-04-27 00:02:39
170983,meduk2/capstone/power1,4/27/2023,0:02:41,1.16,2023-04-27 00:02:41
170984,meduk2/capstone/power1,4/27/2023,0:02:42,1.19,2023-04-27 00:02:42
170985,meduk2/capstone/power1,4/27/2023,0:02:43,1.12,2023-04-27 00:02:43
170986,meduk2/capstone/power1,4/27/2023,0:02:44,1.13,2023-04-27 00:02:44
170987,meduk2/capstone/power1,4/27/2023,0:02:45,1.26,2023-04-27 00:02:45
170988,meduk2/capstone/power1,4/27/2023,0:02:46,1.14,2023-04-27 00:02:46
170989,meduk2/capstone/power1,4/27/2023,0:02:47,1.34,2023-04-27 00:02:47
170990,meduk2/capstone/power1,4/27/2023,0:02:48,1.19,2023-04-27 00:02:48
170991,meduk2/capstone/power1,4/27/2023,0:02:50,1.15,2023-04-27 00:02:50
170992,meduk2/capstone/power1,4/27/2023,0:02:51,1.16,2023-04-27 00:02:51
170993,meduk2/capstone/power1,4/27/2023,0:02:52,1.13,2023-04-27 00:02:52
170994,meduk2/capstone/power1,4/27/2023,0:02:53,1.19,2023-04-27 00:02:53
170995,meduk2/capstone/power1,4/27/2023,0:02:54,1.07,2023-04-27 00:02:54
170996,meduk2/capstone/power1,4/27/2023,0:02:55,1.16,2023-04-27 00:02:55
170997,meduk2/capstone/power1,4/27/2023,0:02:56,1.14,2023-04-27 00:02:56
170998,meduk2/capstone/power1,4/27/2023,0:02:57,1.17,2023-04-27 00:02:57
170999,meduk2/capstone/power1,4/27/2023,0:02:59,1.18,2023-04-27 00:02:59
171000,meduk2/capstone/power1,4/27/2023,0:03:00,1.17,2023-04-27 00:03:00
171001,meduk2/capstone/power1,4/27/2023,0:03:01,1.25,2023-04-27 00:03:01
171002,meduk2/capstone/power1,4/27/2023,0:03:02,1.1,2023-04-27 00:03:02
171003,meduk2/capstone/power1,4/27/2023,0:03:03,1.24,2023-04-27 00:03:03
171004,meduk2/capstone/power1,4/27/2023,0:03:04,1.29,2023-04-27 00:03:04
171005,meduk2/capstone/power1,4/27/2023,0:03:05,1.1,2023-04-27 00:03:05
171006,meduk2/capstone/power1,4/27/2023,0:03:07,1.14,2023-04-27 00:03:07
171007,meduk2/capstone/power1,4/27/2023,0:03:08,1.17,2023-04-27 00:03:08
171008,meduk2/capstone/power1,4/27/2023,0:03:09,1.15,2023-04-27 00:03:09
171009,meduk2/capstone/power1,4/27/2023,0:03:10,1.17,2023-04-27 00:03:10
171010,meduk2/capstone/power1,4/27/2023,0:03:11,1.13,2023-04-27 00:03:11
171011,meduk2/capstone/power1,4/27/2023,0:03:12,1.12,2023-04-27 00:03:12
171012,meduk2/capstone/power1,4/27/2023,0:03:13,1.29,2023-04-27 00:03:13
171013,meduk2/capstone/power1,4/27/2023,0:03:14,1.22,2023-04-27 00:03:14
171014,meduk2/capstone/power1,4/27/2023,0:03:16,1.13,2023-04-27 00:03:16
171015,meduk2/capstone/power1,4/27/2023,0:03:17,1.11,2023-04-27 00:03:17
171016,meduk2/capstone/power1,4/27/2023,0:03:18,1.22,2023-04-27 00:03:18
171017,meduk2/capstone/power1,4/27/2023,0:03:19,1.13,2023-04-27 00:03:19
171018,meduk2/capstone/power1,4/27/2023,0:03:20,1.16,2023-04-27 00:03:20
171019,meduk2/capstone/power1,4/27/2023,0:03:21,1.15,2023-04-27 00:03:21
171020,meduk2/capstone/power1,4/27/2023,0:03:22,1.08,2023-04-27 00:03:22
171021,meduk2/capstone/power1,4/27/2023,0:03:23,1.18,2023-04-27 00:03:23
171022,meduk2/capstone/power1,4/27/2023,0:03:25,1.18,2023-04-27 00:03:25
171023,meduk2/capstone/power1,4/27/2023,0:03:26,1.12,2023-04-27 00:03:26
171024,meduk2/capstone/power1,4/27/2023,0:03:27,1.35,2023-04-27 00:03:27
171025,meduk2/capstone/power1,4/27/2023,0:03:28,1.11,2023-04-27 00:03:28
171026,meduk2/capstone/power1,4/27/2023,0:03:29,1.18,2023-04-27 00:03:29
171027,meduk2/capstone/power1,4/27/2023,0:03:30,1.37,2023-04-27 00:03:30
171028,meduk2/capstone/power1,4/27/2023,0:03:31,1.11,2023-04-27 00:03:31
171029,meduk2/capstone/power1,4/27/2023,0:03:33,1.2,2023-04-27 00:03:33
171030,meduk2/capstone/power1,4/27/2023,0:03:34,1.12,2023-04-27 00:03:34
171031,meduk2/capstone/power1,4/27/2023,0:03:35,1.14,2023-04-27 00:03:35
171032,meduk2/capstone/power1,4/27/2023,0:03:36,1.1,2023-04-27 00:03:36
171033,meduk2/capstone/power1,4/27/2023,0:03:37,1.19,2023-04-27 00:03:37
171034,meduk2/capstone/power1,4/27/2023,0:03:38,1.18,2023-04-27 00:03:38
171035,meduk2/capstone/power1,4/27/2023,0:03:39,1.28,2023-04-27 00:03:39
171036,meduk2/capstone/power1,4/27/2023,0:03:40,1.15,2023-04-27 00:03:40
171037,meduk2/capstone/power1,4/27/2023,0:03:42,1.11,2023-04-27 00:03:42
171038,meduk2/capstone/power1,4/27/2023,0:03:43,1.13,2023-04-27 00:03:43
171039,meduk2/capstone/power1,4/27/2023,0:03:44,1.15,2023-04-27 00:03:44
171040,meduk2/capstone/power1,4/27/2023,0:03:45,1.12,2023-04-27 00:03:45
171041,meduk2/capstone/power1,4/27/2023,0:03:46,1.11,2023-04-27 00:03:46
171042,meduk2/capstone/power1,4/27/2023,0:03:47,1.29,2023-04-27 00:03:47
171043,meduk2/capstone/power1,4/27/2023,0:03:48,1.14,2023-04-27 00:03:48
171044,meduk2/capstone/power1,4/27/2023,0:03:50,1.33,2023-04-27 00:03:50
171045,meduk2/capstone/power1,4/27/2023,0:03:51,1.09,2023-04-27 00:03:51
171046,meduk2/capstone/power1,4/27/2023,0:03:52,1.09,2023-04-27 00:03:52
171047,meduk2/capstone/power1,4/27/2023,0:03:53,1.26,2023-04-27 00:03:53
171048,meduk2/capstone/power1,4/27/2023,0:03:54,1.18,2023-04-27 00:03:54
171049,meduk2/capstone/power1,4/27/2023,0:03:55,1.14,2023-04-27 00:03:55
171050,meduk2/capstone/power1,4/27/2023,0:03:56,1.06,2023-04-27 00:03:56
171051,meduk2/capstone/power1,4/27/2023,0:03:57,1.12,2023-04-27 00:03:57
171052,meduk2/capstone/power1,4/27/2023,0:03:59,1.17,2023-04-27 00:03:59
171053,meduk2/capstone/power1,4/27/2023,0:04:00,1.41,2023-04-27 00:04:00
171054,meduk2/capstone/power1,4/27/2023,0:04:01,1.1,2023-04-27 00:04:01
171055,meduk2/capstone/power1,4/27/2023,0:04:02,1.19,2023-04-27 00:04:02
171056,meduk2/capstone/power1,4/27/2023,0:04:03,1.33,2023-04-27 00:04:03
171057,meduk2/capstone/power1,4/27/2023,0:04:04,1.16,2023-04-27 00:04:04
171058,meduk2/capstone/power1,4/27/2023,0:04:05,1.08,2023-04-27 00:04:05
171059,meduk2/capstone/power1,4/27/2023,0:04:06,1.11,2023-04-27 00:04:06
171060,meduk2/capstone/power1,4/27/2023,0:04:08,1.15,2023-04-27 00:04:08
171061,meduk2/capstone/power1,4/27/2023,0:04:09,1.12,2023-04-27 00:04:09
171062,meduk2/capstone/power1,4/27/2023,0:04:10,1.2,2023-04-27 00:04:10
171063,meduk2/capstone/power1,4/27/2023,0:04:11,1.1,2023-04-27 00:04:11
171064,meduk2/capstone/power1,4/27/2023,0:04:12,1.31,2023-04-27 00:04:12
171065,meduk2/capstone/power1,4/27/2023,0:04:13,1.14,2023-04-27 00:04:13
171066,meduk2/capstone/power1,4/27/2023,0:04:14,1.18,2023-04-27 00:04:14
171067,meduk2/capstone/power1,4/27/2023,0:04:16,1.16,2023-04-27 00:04:16
171068,meduk2/capstone/power1,4/27/2023,0:04:17,1.26,2023-04-27 00:04:17
171069,meduk2/capstone/power1,4/27/2023,0:04:18,1.31,2023-04-27 00:04:18
171070,meduk2/capstone/power1,4/27/2023,0:04:19,1.29,2023-04-27 00:04:19
171071,meduk2/capstone/power1,4/27/2023,0:04:20,1.13,2023-04-27 00:04:20
171072,meduk2/capstone/power1,4/27/2023,0:04:21,1.12,2023-04-27 00:04:21
171073,meduk2/capstone/power1,4/27/2023,0:04:22,1.09,2023-04-27 00:04:22
171074,meduk2/capstone/power1,4/27/2023,0:04:23,1.19,2023-04-27 00:04:23
171075,meduk2/capstone/power1,4/27/2023,0:04:25,1.28,2023-04-27 00:04:25
171076,meduk2/capstone/power1,4/27/2023,0:04:26,1.11,2023-04-27 00:04:26
171077,meduk2/capstone/power1,4/27/2023,0:04:27,1.18,2023-04-27 00:04:27
171078,meduk2/capstone/power1,4/27/2023,0:04:28,1.1,2023-04-27 00:04:28
171079,meduk2/capstone/power1,4/27/2023,0:04:29,1.22,2023-04-27 00:04:29
171080,meduk2/capstone/power1,4/27/2023,0:04:30,1.18,2023-04-27 00:04:30
171081,meduk2/capstone/power1,4/27/2023,0:04:31,1.15,2023-04-27 00:04:31
171082,meduk2/capstone/power1,4/27/2023,0:04:32,1.13,2023-04-27 00:04:32
171083,meduk2/capstone/power1,4/27/2023,0:04:34,1.13,2023-04-27 00:04:34
171084,meduk2/capstone/power1,4/27/2023,0:04:35,1.15,2023-04-27 00:04:35
171085,meduk2/capstone/power1,4/27/2023,0:04:36,1.26,2023-04-27 00:04:36
171086,meduk2/capstone/power1,4/27/2023,0:04:37,1.14,2023-04-27 00:04:37
171087,meduk2/capstone/power1,4/27/2023,0:04:38,1.17,2023-04-27 00:04:38
