,datetime
212437,2023-04-27 13:04:03
212438,2023-04-27 13:04:04
212439,2023-04-27 13:04:05
212440,2023-04-27 13:04:06
212441,2023-04-27 13:04:07
212442,2023-04-27 13:04:08
212443,2023-04-27 13:04:10
212444,2023-04-27 13:04:11
212445,2023-04-27 13:04:12
212446,2023-04-27 13:04:13
212447,2023-04-27 13:04:14
212448,2023-04-27 13:04:15
212449,2023-04-27 13:04:16
212450,2023-04-27 13:04:17
212451,2023-04-27 13:04:19
212452,2023-04-27 13:04:20
212453,2023-04-27 13:04:21
212454,2023-04-27 13:04:22
212455,2023-04-27 13:04:23
212456,2023-04-27 13:04:24
212457,2023-04-27 13:04:25
212458,2023-04-27 13:04:26
212459,2023-04-27 13:04:28
212460,2023-04-27 13:04:29
212461,2023-04-27 13:04:30
212462,2023-04-27 13:04:31
212463,2023-04-27 13:04:32
212464,2023-04-27 13:04:33
212465,2023-04-27 13:04:34
212466,2023-04-27 13:04:36
212467,2023-04-27 13:04:37
212468,2023-04-27 13:04:38
212469,2023-04-27 13:04:39
212470,2023-04-27 13:04:40
212471,2023-04-27 13:04:41
212472,2023-04-27 13:04:42
212473,2023-04-27 13:04:43
212474,2023-04-27 13:04:45
212475,2023-04-27 13:04:46
212476,2023-04-27 13:04:47
212477,2023-04-27 13:04:48
212478,2023-04-27 13:04:49
212479,2023-04-27 13:04:50
212480,2023-04-27 13:04:51
212481,2023-04-27 13:04:52
212482,2023-04-27 13:04:54
212483,2023-04-27 13:04:55
212484,2023-04-27 13:04:56
212485,2023-04-27 13:04:57
212486,2023-04-27 13:04:58
212487,2023-04-27 13:04:59
212488,2023-04-27 13:05:00
212489,2023-04-27 13:05:02
212490,2023-04-27 13:05:03
212491,2023-04-27 13:05:04
212492,2023-04-27 13:05:05
212493,2023-04-27 13:05:06
212494,2023-04-27 13:05:07
212495,2023-04-27 13:05:08
212496,2023-04-27 13:05:09
212497,2023-04-27 13:05:11
212498,2023-04-27 13:05:12
212499,2023-04-27 13:05:13
